productId,expectedStatus,expectedCategory,minPrice,maxPrice
1,200,beauty,8.99,10.99
2,200,beauty,11.99,13.99
3,200,beauty,9.99,11.99
4,200,fragrances,12.99,14.99
5,200,fragrances,9.99,11.99
6,200,fragrances,7.99,9.99
7,200,fragrances,59.99,61.99
8,200,skincare,39.99,41.99
9,200,skincare,11.99,13.99
10,200,skincare,14.99,16.99
11,200,skincare,16.99,18.99
12,200,skincare,19.99,21.99
13,200,groceries,2.99,4.99
14,200,groceries,0.89,2.89
15,200,groceries,1.49,3.49
16,200,groceries,8.49,10.49
17,200,groceries,14.99,16.99
18,200,home-decoration,49.99,51.99
19,200,home-decoration,39.99,41.99
20,200,furniture,24.99,26.99
